Provincia,Partido,Unnamed: 2,Poblacion,ADSL,CABLEMODEM,Unnamed: 6,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,Unnamed: 13,Latitud,Longitud
CHUBUT,0,KM 8 - Don Bosco,00,--,0,--,--,--,0,--,0,SI,260210200,"-45,7988982385959",0
CABA,0,0,473060,SI,0,0,SI,SI,0,SI,0,0,20000100,"-34,6299600080664",0
CHUBUT,Escalante,Rada Tilly,00,SI,SI,SI,0,0,SI,SI,SI,SI,00,"-45,9368019185633","-67,5653960236573"
0,Florentino Ameghino,Camarones,12960,0,--,--,--,0,SI,0,--,SI,260280100,0,"-65,7105992934951"
CHUBUT,0,Garayalde,180,--,0,--,--,--,0,--,--,0,260280200,"-44,6795783728661","-66,6097364550235"
CHUBUT,Futaleufú,0,3590,--,--,0,--,SI,--,SI,0,--,260350100,"-43,1198187614025",0
0,Futaleufú,Corcovado,00,0,--,SI,--,0,--,SI,--,--,00,"-43,5380021657326","-71,4659616215841"
CHUBUT,Futaleufú,Esquel,00,SI,SI,SI,0,SI,SI,0,SI,SI,00,0,"-71,3185116319277"
0,Mar Chiquita,General Pirán,00,0,--,SI,0,0,SI,SI,0,0,65180200,"-37,2778606745914",0
0,Mar Chiquita,La Armonía,1720,0,--,--,--,0,SI,--,SI,0,65180300,"-37,774854850113","-57,6351210747907"
BUENOS AIRES,0,0,00,--,0,0,--,--,0,0,SI,SI,65180200,0,"-57,450820092514"
BUENOS AIRES,0,La Caleta,00,--,0,--,--,--,0,--,--,--,00,"-37,7834384978567","-57,4647863685704"
0,Mar Chiquita,Mar Chiquita,4870,0,--,--,--,0,--,SI,0,0,65180400,"-37,7462581727647",0
BUENOS AIRES,Mar Chiquita,Mar de Cobo,00,0,--,SI,0,--,--,SI,0,--,65180500,"-37,7768000427976",0
BUENOS AIRES,Mar Chiquita,Playa Dorada,00,--,--,--,0,--,SI,--,SI,SI,00,"-37,8730952780707","-57,5218898754931"
0,Mar Chiquita,Santa Clara del Mar,00,0,--,--,0,0,SI,0,SI,SI,65180600,0,"-57,5079487213859"
BUENOS AIRES,Mar Chiquita,0,00,--,--,0,--,--,--,--,--,0,65180200,"-37,8649003626945","-57,5169016362882"
BUENOS AIRES,0,0,9560,--,0,0,SI,--,0,SI,0,0,65180700,"-37,6627994476991",0
BUENOS AIRES,0,Barrio Santa Rosa,1090,--,0,--,--,--,0,0,--,SI,00,0,"-58,78292863718"
BUENOS AIRES,Marcos Paz,0,504600,SI,SI,0,SI,SI,0,SI,SI,SI,00,"-34,7965436888808","-58,8778211205753"
0,Mercedes,Goldney,850,0,--,--,--,0,--,--,0,--,65320050,"-34,6029546709308",0
0,Benito Juárez,Benito Juárez (Est Juárez),00,SI,--,SI,0,SI,SI,SI,SI,0,60840200,"-37,6766410210105","-59,8057677109444"
BUENOS AIRES,0,0,1380,--,0,0,SI,--,0,0,--,--,00,0,"-59,6278461536299"
BUENOS AIRES,0,Tedín Uriburu,1570,--,0,--,--,--,0,0,SI,SI,60840400,0,"-59,7630391604187"
